Ticker,Sector,ROIC,Volatility,Dividend_Yield,Price_CAGR,TotalRevenue,EV_EBITDA
MMM,Industrials,0.42074565535732744,0.30317478450940116,1.81,0.21076787325118485,24575000000.0,12.74501093611827
AOS,Industrials,0.2895302743903421,0.2553425806207654,2.02,0.0874531990635612,3818100000.0,12.135190296249206
ABT,Health Care,0.13750022698796055,0.20055483590733897,2.01,0.07590725717617519,41950000000.0,20.678373949212233
ABBV,Health Care,0.10045423050273308,0.2320195337636687,3.11,0.15546771730462483,56334000000.0,30.652558577062376
ACN,Information Technology,0.2869828002763782,0.2521256626233209,2.42,0.034539257137266466,69672977000.0,13.963514510294774
ADBE,Information Technology,0.4539026637495598,0.33281344226115794,0.0,0.026814494388083476,21505000000.0,18.653483594319468
AMD,Information Technology,0.030046203523770576,0.5225889943564316,0.0,0.46231768347030155,25785000000.0,61.61297615214911
AES,Utilities,0.0713596455872343,0.4091085693201335,5.14,-0.1795292256932004,12278000000.0,12.776232406258577
A,Health Care,0.17217703253830716,0.28215711455452047,0.75,-0.016274560369922475,6510000000.0,21.512884866595517
APD,Materials,-0.00564341019370233,0.26832283365985843,2.94,-0.05753897141812836,12037300000.0,54.68595783775701
ABNB,Consumer Discretionary,0.5282467117924765,0.3802400982812962,0.0,0.1602869539288696,11102000000.0,27.440336867838045
AKAM,Information Technology,0.05872458653370108,0.32664337271999666,0.0,0.017295833005747774,3991168000.0,13.340541321463082
ALB,Materials,-0.12904403613219448,0.5587756074516262,1.15,-0.14349152369776874,5377526000.0,-20.676773273320865
ALGN,Health Care,0.15878361304424055,0.49316960325720793,0.0,-0.06723097494605712,3999012000.0,13.099935700136387
ALLE,Industrials,0.22851214626794664,0.24180005872911856,1.28,0.16768239648839844,3772200000.0,17.085485644705372
LNT,Utilities,0.05914940273529921,0.18648497120138738,3.09,0.1032945946370547,3981000000.0,15.611494855870896
GOOGL,Communication Services,0.30678197655842804,0.3036003206652837,0.28,0.5128978851842456,350018000000.0,26.55570957507718
GOOG,Communication Services,0.30678197655842804,0.301848596670216,0.28,0.5109776249085378,350018000000.0,26.670682432131407
MO,Consumer Staples,0.6232290353280873,0.18306118119611584,7.26,0.17092916689229765,20444000000.0,7.983582972126361
AMZN,Consumer Discretionary,0.1816969869393437,0.3210907562221428,0.0,0.38915902021555704,637959000000.0,20.113511032685864
